year,times
1951,6.0
1952,8.0
1953,7.0
1954,7.0
1955,4.0
1956,4.0
1957,5.0
1958,6.0
1959,4.0
1960,6.0
1961,7.0
1962,4.0
1963,5.0
1964,6.0
1965,7.0
1966,3.0
1967,8.0
1968,4.0
1969,1.0
1970,6.0
1971,5.0
1972,5.0
1973,7.0
1974,9.0
1975,6.0
1976,5.0
1977,2.0
1978,5.0
1979,4.0
1980,9.0
1981,6.0
1982,4.0
1983,6.0
1984,6.0
1985,6.0
1986,7.0
1987,2.0
1988,5.0
1989,4.0
1990,5.0
1991,5.0
1992,5.0
1993,7.0
1994,5.0
1995,7.0
1996,3.0
1997,2.0
1998,4.0
1999,7.0
2000,5.0
2001,5.0
2002,4.0
2003,5.0
2004,4.0
2005,4.0
2006,7.0
2007,4.0
2008,6.0
2009,7.0
2010,4.0
2011,4.0
2012,5.0
2013,6.0
2014,4.0
2015,3.0
2016,5.0
