year,key0,key1,key2,key3,key4,key5,key6,key7,key8,key9,key10,key11,key12,key13,key14,key15,key16,key17,key18,key19,key20,key21,key22,key23,key24,key25,key26,key27,key28,key29,key30,key31,key32,key33,key34,key35,key36,key37,key38,key39,key40,key41,key42,key43,key44,key45,key46,key47,key48,key49,key50,key51,key52,key53,key54,key55,key56,key57,key58,key59,key60,key61,key62,key63,key64,key65,key66,key67,key68,key69,key70,key71,key72,key73,key74,key75,key76,key77,key78,key79,key80,key81,key82,key83,key84,key85,key86,key87,key88,key89,key90,key91,key92,key93,key94,key95,key96,key97,key98,key99,key100,key101,key102,key103,key104,key105,key106,key107,key108,key109,key110,key111,key112,key113,key114,key115,key116,key117,key118,key119,key120,key121,key122,key123,key124,key125,key126,key127,key128,key129,key130,key131,key132,key133,key134,key135,key136,key137,key138,key139,key140,key141,key142,key143,key144,key145,key146,key147,key148,key149,key150,key151,key152,key153,key154,key155,key156,key157,key158,key159,key160,key161,key162,key163,key164,key165,key166,key167,key168,key169,key170,key171,key172,key173,key174,key175,key176,key177,key178,key179,key180,key181,key182,key183,key184,key185,key186,key187,key188,key189,key190,key191,key192,key193,key194,key195,key196,key197,key198,key199,key200,key201,key202,key203,key204,key205,key206,key207,key208,key209,key210,key211,key212,key213,key214,key215,key216,key217,key218,key219,key220,key221,key222,key223,key224,key225,key226,key227,key228,key229,key230,key231,key232,key233,key234,key235,key236,key237,key238,key239
1951,19.373333,19.916666,19.003334,19.396666,20.686666,21.293333,21.463333,21.980001,22.373335,22.659998,22.246666,20.93,23.029999,21.713333,2.3533332,2.1466665,23.353333,2.6100001,23.436666,2.8666668,20.976667,21.006666,20.943335,23.086668,22.236666,2.0533335,22.226667,17.986666,23.786667,3.03,22.69,24.043333,-1.7400001,22.336668,23.706665,23.626669,21.083334,19.653334,21.006668,19.65,24.316666,22.286667,22.22,24.113333,2.0566666,24.69,21.236666,22.413336,23.470001,23.326666,19.733335,3.2366667,23.456667,29.156668,22.476664,24.38,19.623335,23.543333,1.2700001,1.0666666,29.143333,25.283333,23.793333,23.513334,29.183334,29.376669,29.396667,22.779999,26.833334,25.01,18.279999,28.96,26.876665,26.783335,13.466667,28.973333,28.940002,23.583334,25.873335,21.05,26.956665,23.703333,28.756668,26.453333,29.200003,27.333334,22.443335,27.449999,27.253334,2.0766666,-1.7999998,29.393333,28.723333,28.513334,28.546667,26.726664,24.553335,28.066666,18.27,28.67,27.556665,29.583334,19.56,29.636665,2.6666667,28.470001,2.4966667,28.843332,13.71,3.426667,13.956668,28.823334,24.633333,28.0,14.203334,27.196665,26.646667,27.646666,1.9966666,27.71,27.706667,16.94,28.686666,27.593332,28.18,27.463333,-1.77,2.4466667,28.276667,27.886667,16.316668,26.23667,28.01,26.553331,-0.040000003,18.186666,16.596666,26.056665,28.039999,27.353333,21.05,28.353333,14.896667,27.613333,25.923334,14.896667,13.32,28.71,27.87,14.946667,27.483332,19.529999,27.873331,28.57,13.373333,27.716667,13.299999,28.43,27.273333,27.769999,27.596666,13.316667,27.696665,27.803331,27.736666,27.483332,27.023333,27.336668,27.726667,27.47,27.683334,27.306665,27.863335,27.840002,27.033333,27.830002,27.666666,13.446667,27.783333,26.753334,27.676666,27.81,27.883333,27.786667,26.43,27.286667,15.003334,27.789999,11.836666,27.813334,27.1,26.206665,13.346667,27.723333,26.519999,27.846666,26.346666,27.793335,28.223333,27.69,27.646667,27.863335,27.88,27.92,5.9666667,26.113333,27.683332,27.776667,27.356667,7.566667,27.913332,27.916666,27.97,27.596666,27.86,27.883333,27.779999,27.163336,27.913336,8.48,27.883333,27.896667,27.92,24.143333,7.763333,17.19,7.0699997,15.413334,7.216667,8.400001,7.5,7.903333,8.646667,13.806667,8.950001,12.483333,15.32,16.953333,11.596667,10.53
1952,18.773333,19.276667,18.533333,18.9,20.090002,20.776667,20.756666,21.386667,21.88,21.960001,21.436666,19.746666,22.423332,20.793335,2.7299998,2.47,22.830002,3.03,22.6,3.3166666,19.973333,19.623335,19.93,22.183334,20.963333,2.2866666,21.066668,17.733334,22.993332,3.5133333,21.693335,23.0,-0.93,20.916666,22.646667,23.193335,20.223333,18.65,19.403334,18.400002,23.323334,21.22,21.15,23.37,2.2066667,23.54,20.51,20.836668,22.21,22.233335,18.949999,3.756667,22.25,29.19,21.496666,23.243332,18.109999,22.213333,1.8266667,1.6,29.230001,24.156668,23.486666,22.336668,29.143333,29.156668,29.213333,21.903334,27.113333,23.923332,17.24,29.163332,27.21,27.003334,13.25,29.29,29.226667,22.17,24.910002,19.243334,27.323334,22.550001,29.253332,25.756668,29.283333,27.916666,20.706667,28.036667,27.813334,1.8233334,-1.2333333,29.133333,29.17,29.159998,29.276667,26.913332,23.39,28.82,16.949999,29.159998,28.153334,29.126665,17.81,29.18,2.3866665,29.13,2.2233334,29.143333,13.533333,3.9766667,13.700001,29.38,23.436666,28.796667,13.873333,27.733332,26.813334,28.236666,1.7533334,28.546667,28.29,16.313334,29.126669,28.44,28.876665,28.303335,-1.3066666,2.1733334,29.123331,28.723333,15.740001,26.19,28.973333,26.703333,0.46333328,16.61,15.963333,25.903336,29.029999,28.173334,19.070002,29.276667,16.403334,28.69,25.756666,16.33,15.150001,29.453333,28.966667,16.463333,28.583334,17.576668,28.996668,29.466667,15.236667,28.79,15.053334,29.396667,27.830002,27.876669,28.18,15.013333,28.25,27.916666,27.863333,28.0,27.613333,28.446665,28.900002,28.076666,27.886667,28.58,28.12,27.980001,27.576668,28.083334,27.936666,15.306666,28.353333,27.373335,28.006668,28.076666,28.153336,28.306665,27.046667,27.923334,16.54,28.086668,13.876667,28.353333,28.38,26.83,15.006667,27.663332,27.153334,28.33,26.983332,28.116667,29.353333,27.826668,28.123331,28.316668,28.299997,28.213333,5.2066665,26.736666,28.086668,28.14,28.696669,7.266667,28.230001,28.226664,28.300001,28.916666,28.22,28.276667,28.173334,28.533333,28.230001,8.24,28.196665,28.263334,28.24,24.923334,7.056667,17.223333,7.853334,15.143333,7.976667,9.3533325,8.193334,8.546666,9.536667,13.593333,9.793334,12.34,15.326667,16.85,11.536667,10.55
1953,19.466665,20.033333,19.14,19.52,20.86,21.53,21.663332,22.230001,22.653334,22.92,22.473333,21.02,23.323334,21.906668,3.0233333,2.8,23.683332,3.22,23.699999,3.3966668,21.226667,20.92,21.116667,23.346664,22.166666,2.6833332,22.266668,18.223333,24.039999,3.5466664,22.936666,24.246666,-0.7266666,22.146667,23.963333,23.996668,21.466667,19.94,20.789999,19.71,24.536667,22.413336,22.483332,24.36,2.6266668,24.876669,21.746666,22.11,23.303335,23.646666,20.230001,3.6766665,23.346666,29.196669,22.69,24.643333,19.506666,23.32,2.36,2.1766665,29.263334,25.5,24.243332,23.443335,29.096666,29.276667,29.353333,23.089998,26.683334,25.313334,18.51,29.01,26.733335,26.616669,12.826667,29.216667,29.11,23.306665,26.14,20.653334,26.813334,23.673334,29.026667,26.76,29.363333,27.44,22.006666,27.519999,27.376669,2.58,-1.13,29.183334,28.916666,28.816668,28.976667,26.583334,24.356667,28.223333,18.243332,28.786667,27.6,29.343332,19.263334,29.446665,2.8100002,28.669998,2.83,28.863333,13.1466675,3.75,13.31,29.233335,24.433332,28.18,13.44,27.35,26.533333,27.663332,1.9633332,28.0,27.720001,16.019999,28.683334,27.93,28.300001,27.846666,-1.0300001,2.57,28.706667,28.13,15.406667,25.840002,28.35,26.480001,0.73333335,17.936666,15.653333,25.68,28.466667,27.783333,20.5,28.89,14.759999,28.116667,25.596666,14.436667,13.100001,29.203333,28.376665,14.97,28.03,19.01,28.466667,29.143333,13.323334,28.203333,12.913334,29.046667,27.669998,27.846666,27.980001,12.753334,28.053335,27.88,27.836664,27.846666,27.433334,27.94,28.286667,27.863333,27.813334,28.023333,28.04,27.896667,27.460001,28.01,27.813334,13.566667,28.12,27.163332,27.81,27.986666,28.050001,28.093332,26.87,27.68,15.153333,27.956665,11.68,28.11,27.913332,26.633333,12.633334,27.703333,26.92,28.1,26.736666,27.923332,28.996666,27.746666,27.949999,28.083334,28.036667,28.073334,5.6200004,26.580002,27.82,27.906668,28.206665,8.04,28.1,28.073334,28.116669,28.519999,28.006668,28.0,27.9,28.093332,28.043333,8.920001,27.979998,27.980001,28.016668,24.743332,7.6,17.376665,7.52,14.063334,7.636667,9.243333,7.82,8.146667,9.413333,12.400001,9.650001,11.086667,14.213333,15.763332,10.259999,9.2699995
1954,18.72,19.293333,18.393333,18.776665,20.15,20.833334,21.026667,21.64,22.13,22.43,21.933334,20.403334,22.873331,21.31,3.1766665,3.0233335,23.253334,3.2633333,23.26,3.3333333,20.603334,20.31,20.44,22.876669,21.693335,2.9766667,21.806665,17.696667,23.63,3.4166667,22.409998,23.826666,-0.95666665,21.656668,23.5,23.576666,20.846666,19.216665,20.22,19.036667,24.1,21.973335,21.88,23.963333,2.9399998,24.446669,21.143333,21.603333,22.976667,23.106667,19.476667,3.4666665,23.043335,29.076668,22.269999,24.176666,18.89,22.963333,2.4333334,2.32,29.166666,25.056665,23.803335,23.17,28.980001,29.086668,29.166666,22.696665,27.193335,24.843332,17.823334,28.953333,27.243332,27.12,13.993333,29.203333,29.053331,22.910002,25.71,20.063334,27.303331,23.426666,29.063334,26.353333,29.28,27.996668,21.466667,28.050001,27.949999,1.6999999,-1.0866666,29.013334,28.926666,28.886667,29.093332,27.063334,24.183332,28.506666,17.616667,28.839998,28.093332,29.090002,18.666666,29.186666,2.38,28.783333,2.1733332,28.86,14.313333,3.4633334,14.46,29.273333,24.293333,28.519999,14.55,27.92,26.976667,28.116667,1.7900001,28.529999,28.12,16.803333,28.76,28.496666,28.523333,28.449999,-1.25,2.2333333,28.853333,28.563334,16.269999,26.276667,28.666666,26.886667,0.089999996,17.343332,16.4,26.08,28.723333,28.406668,19.88,29.076666,15.106667,28.646666,25.936666,15.139999,13.506667,29.300001,28.703333,15.13,28.590002,18.386667,28.779999,29.316666,13.536667,28.693335,13.490001,29.306665,27.460001,28.176666,27.796667,13.476666,27.909998,28.253334,28.133333,27.68,27.213333,28.526667,28.676666,27.659998,28.050001,28.556665,28.349998,28.340002,27.25,28.286667,28.029999,13.57,28.090002,26.963333,28.023336,28.233332,28.43,28.01,26.676666,27.493334,15.166667,28.133333,11.963333,28.153334,28.49,26.470001,13.476666,27.973333,26.753334,28.086668,26.616669,28.08,29.306665,27.98667,27.836668,28.126665,28.12,28.51,5.0033336,26.449999,28.036667,28.063334,28.656668,7.973333,28.246666,28.183334,28.61,28.993332,28.046667,28.103333,28.06,28.596666,28.143333,8.876667,28.043333,28.096666,28.12,24.76,6.9666667,16.946665,7.83,14.753334,7.963333,9.406667,8.206667,8.543333,9.623334,13.106667,9.89,11.81,14.93,16.500002,10.993333,10.0
1955,19.18,19.67,18.873335,19.21,20.376667,20.900002,21.153334,21.539999,21.800001,22.15,21.903336,20.746666,22.37,21.536667,3.3266668,3.1166668,22.623331,3.4866667,22.830002,3.6133335,20.916666,20.636667,20.93,22.65,22.0,2.9533331,22.113335,18.363333,23.043333,3.7300003,22.483332,23.503334,-0.7633333,21.933334,23.4,22.88,21.136665,19.53,20.506668,19.366667,23.623331,22.286667,22.24,23.296667,2.8100002,24.246668,21.396667,21.840002,23.19,23.286667,19.743334,3.8333333,23.273333,28.836668,22.56,24.199999,19.193335,23.13,2.6766665,2.47,28.813334,24.96,23.103333,23.426666,28.876665,28.873331,28.843332,22.913332,26.636667,24.96,18.076668,28.826666,26.69,26.58,13.903333,28.813334,28.789999,23.039999,25.686668,20.36,26.76,23.703333,28.753332,26.386667,28.846666,27.326666,21.730001,27.433334,27.243334,2.06,-1.0366666,28.923334,28.763334,28.683334,28.726664,26.476667,24.296667,28.443335,17.873335,28.793333,27.533335,28.893333,18.980001,28.88,2.46,28.693335,2.4433334,28.846666,14.243333,3.8566668,14.363334,28.823334,24.446669,28.33,14.456666,27.166666,26.349998,27.626669,1.6333332,27.9,27.730001,16.756666,28.849998,27.786667,28.53,27.666666,-1.1566666,2.2966666,28.586664,28.126669,16.21,25.793333,28.466667,26.226667,0.69666666,17.596666,16.383333,25.553335,28.496666,27.546667,20.246666,28.616667,15.133334,27.963333,25.453333,14.996667,13.273334,28.766668,28.37,15.22,27.823334,18.776667,28.333334,28.720001,13.43,28.116667,13.163333,28.62,27.136667,28.169998,27.453333,13.099999,27.580002,28.233332,28.13,27.36,26.87,27.673332,28.230001,27.303335,28.043335,27.723333,28.243334,28.293335,26.93,28.18,28.0,13.579999,27.75,26.596666,27.986666,28.13,28.296667,27.686666,26.31,27.123331,15.296666,28.036667,11.623333,27.813334,27.539999,26.08,13.043332,28.086668,26.37,27.769999,26.206667,27.993334,28.523333,28.050001,27.53,27.816666,27.839998,28.36,5.2433333,26.050001,27.979998,27.966667,27.816666,8.08,28.076668,28.023333,28.426666,28.066666,27.763334,27.86,27.950003,27.62,27.99,8.826667,27.783335,27.886667,27.970001,24.323334,7.1433334,17.160002,8.006667,14.303333,8.163334,9.596667,8.406667,8.756666,9.843333,12.713333,10.133333,11.496667,14.623333,16.186666,10.726666,9.736667
1956,19.876669,20.423334,19.49,19.88,21.226667,21.85,22.019999,22.56,22.973333,23.216667,22.783333,20.659998,23.593332,22.223333,2.6299999,2.4633334,23.943335,2.8133333,23.906668,2.9966667,20.833334,20.53,21.423332,23.539999,21.976667,2.35,22.096666,18.48,24.246666,3.176667,23.153334,24.340002,-1.2166666,21.883331,24.039999,24.246668,21.05667,19.39,20.356667,19.216667,24.62,22.266665,22.683334,24.566666,2.34,24.81,21.279999,21.756666,23.256668,23.693335,19.61,3.3533332,23.346666,28.963333,22.519999,24.566666,19.023333,23.160002,1.5266668,1.3333333,28.946665,25.273333,24.480001,23.49,28.993332,29.073334,29.06,22.836668,26.550001,25.086668,17.923332,28.853333,26.613333,26.480001,13.75,28.846666,28.82,23.043333,25.796667,20.173332,26.703333,23.736666,28.686666,26.376665,29.003334,27.08,21.613333,27.213333,26.980001,2.4966667,-1.5600001,29.126669,28.706665,28.536667,28.566666,26.413332,24.463333,28.220001,17.713333,28.703333,27.346666,29.166666,18.793333,29.176666,2.6433332,28.546667,2.783333,28.820002,14.026666,3.4399998,14.226666,28.766668,24.6,28.076668,14.39,26.903334,26.346666,27.466665,1.7833334,27.49,27.589998,16.873333,28.756666,27.353333,28.356667,27.203333,-1.2733333,2.5933335,28.353333,27.779999,16.293333,25.933334,28.113333,26.286667,-0.089999996,17.416666,16.513334,25.803335,28.163332,27.07,20.066666,28.353333,15.099999,27.4,25.733332,15.323333,13.540001,28.61,27.953333,15.009999,27.213333,18.589998,27.93,28.470001,13.493333,27.590002,13.606667,28.279999,27.550001,27.763334,27.853333,13.696667,27.896667,27.816666,27.730001,27.69,27.36,27.029999,27.743332,27.776667,27.699999,27.056665,27.81,27.87,27.323334,27.769999,27.683334,13.426666,27.94,27.156664,27.71,27.746666,27.840002,27.93,26.843332,27.656668,14.94,27.736666,11.973332,27.943335,26.830002,26.686666,13.786667,27.756668,26.99,27.950003,26.89,27.743334,28.096666,27.726667,27.796667,27.943335,27.92,27.9,5.836666,26.583334,27.743334,27.753332,27.183334,7.5499997,27.806665,27.800001,27.973333,27.453333,27.873331,27.903334,27.779999,26.926666,27.816666,8.506666,27.86,27.893333,27.843332,25.073334,7.616667,16.796667,7.6800003,13.266666,7.866667,9.213333,8.156667,8.566667,9.499999,11.526668,9.846666,10.200001,13.493335,15.036667,9.366667,8.400001
1957,18.67,19.233334,18.373335,18.76,20.08,20.783335,20.87,21.483335,21.949999,22.173332,21.693335,20.16,22.593332,21.09,3.1899998,3.0866668,22.980001,3.256667,22.933334,3.3133335,20.293333,20.06,20.253334,22.550001,21.339998,3.0200002,21.406668,17.49,23.296667,3.3700001,22.133331,23.460001,-1.7933334,21.293333,23.156668,23.326668,20.446669,19.043333,19.91,18.89,23.75,21.516668,21.623335,23.643333,3.0266666,24.07,20.636667,21.196667,22.51,22.793333,19.229998,3.4266665,22.539999,29.306665,21.730001,23.836664,18.710001,22.473333,2.11,2.06,29.283333,24.69,23.603333,22.623331,29.303331,29.410002,29.386667,22.063332,27.146667,24.51,17.713335,29.199999,27.26,27.016668,13.27,29.226664,29.220001,22.403334,25.35,19.743334,27.38,22.836668,29.096666,26.043333,29.316666,27.936666,21.073334,28.033333,27.839998,2.24,-1.7999998,29.409998,29.063334,28.949999,29.043335,26.906668,23.573334,28.61,17.503334,29.01,28.126669,29.506666,18.476667,29.480001,2.5733335,28.92,2.6133335,29.086668,13.533333,3.4566667,13.766666,29.200003,23.653334,28.573334,13.946667,27.753332,26.783333,28.196665,1.9,28.396667,28.236666,16.539999,28.966665,28.330002,28.67,28.233332,-1.7999998,2.6333334,28.826666,28.49,15.963333,26.196665,28.62,26.666666,-0.42999998,17.199999,16.19,25.94,28.669998,28.133333,19.64,28.909998,15.7300005,28.393333,25.786667,15.573334,14.160001,29.126665,28.553331,15.866668,28.293335,18.276667,28.576668,29.083334,14.29,28.453333,14.05,29.003334,27.363333,28.296667,27.720001,13.946666,27.796667,28.386667,28.216667,27.543333,27.12,28.183334,28.456667,27.6,28.086668,28.176666,28.396667,28.486666,27.113333,28.299997,28.019999,14.433333,27.936666,26.853333,27.986666,28.216667,28.5,27.873331,26.51,27.433334,16.026667,28.070002,12.650001,27.983332,28.056665,26.279999,13.863334,28.200003,26.63,27.933332,26.486666,28.016668,28.949999,28.076666,27.686666,27.966667,27.973333,28.606667,4.963333,26.176666,27.966667,27.970001,28.233332,8.01,28.126665,28.066668,28.693335,28.503332,27.886667,27.956665,27.946665,28.123331,28.020002,9.18,27.88,27.94,27.983332,24.623335,6.933333,16.593332,7.7599998,14.59,7.8700004,9.39,8.09,8.396667,9.613334,13.113334,9.896667,11.986667,15.34,16.823334,11.3,10.4
1958,19.023333,19.63,18.61,19.006666,20.493334,21.19,21.473333,22.083334,22.529999,22.96,22.49,20.659998,23.35,21.89,3.7266667,3.5266666,23.693335,3.9266665,23.86,4.0866666,20.86,20.5,21.056665,23.483332,22.023333,3.3966668,22.166666,17.663334,24.193335,4.2233334,23.056665,24.470001,0.3066667,21.906668,24.160002,23.973333,21.1,19.28,20.296667,19.066666,24.74,22.366667,22.553335,24.483332,3.3366668,25.076666,21.366667,21.76,23.289999,23.793333,19.533333,4.3233333,23.410002,29.043335,22.656668,24.826668,18.83,23.18,3.3233335,3.0533333,29.14,25.63,24.176666,23.586664,28.933334,29.006668,29.083334,23.090002,27.793333,25.436666,17.593332,28.949999,27.79,27.76,13.393333,29.256666,29.126665,23.053331,26.19,20.08,27.793335,23.9,29.17,26.743332,29.269999,28.606667,21.593332,28.633333,28.58,1.85,-0.23666663,28.936666,28.980001,29.036667,29.293333,27.716667,24.479998,28.876669,17.330002,28.936668,28.623331,28.986666,18.543333,29.050001,2.2733333,28.993334,2.2266667,28.863333,13.723332,4.36,13.88,29.393333,24.666666,28.933332,14.023334,28.566666,27.643333,28.613335,1.5366668,29.103333,28.586664,16.58,28.87,29.116667,28.839998,29.103333,0.026666721,2.15,29.086668,29.023336,15.993333,26.853334,29.046667,27.57,1.5633334,17.023333,16.210001,26.733332,29.053335,29.086664,19.926666,29.339998,15.983333,29.25,26.64,15.673333,14.579999,29.486666,29.086664,16.166666,29.246668,18.306667,29.18,29.6,14.783333,29.203333,14.386666,29.656668,27.603333,28.343332,27.940002,14.216667,28.050001,28.403334,28.293333,27.82,27.323334,29.229998,29.13,27.773333,28.22,29.216667,28.486666,28.483335,27.419998,28.423332,28.216667,14.98,28.246666,27.019999,28.24,28.356667,28.563334,28.160002,26.746666,27.563334,16.363333,28.266668,13.343333,28.33,29.206667,26.483332,14.080001,28.193335,26.769999,28.25,26.606668,28.253334,29.726667,28.206665,27.979998,28.296667,28.32,28.646667,5.1633334,26.483332,28.26,28.246668,29.24,9.22,28.353333,28.32,28.716667,29.503334,28.220001,28.303335,28.246666,29.306665,28.293335,10.083333,28.203333,28.273336,28.269999,24.57,7.103333,16.83,7.353333,14.46,7.5066667,8.94,7.773333,8.150001,9.23,12.876666,9.55,11.593333,14.573334,16.196667,10.733334,9.693333
1959,19.039999,19.590002,18.74,19.123335,20.433334,21.133333,21.213335,21.826666,22.31,22.533333,22.06,21.033333,22.953333,21.483332,3.2633333,3.1133335,23.363335,3.3966668,23.31,3.57,21.193333,20.92,20.686666,22.916666,22.426666,3.0400002,22.5,17.863335,23.676666,3.7333333,22.496668,23.79,-0.32999998,22.386667,23.493332,23.75,21.416666,19.683334,20.82,19.5,24.086668,22.64,22.04,24.043333,3.0266666,24.376665,21.700003,22.336668,23.769999,23.173332,19.92,3.886667,23.789999,29.01,22.923332,24.163332,19.313334,23.753332,2.72,2.5166667,29.086668,24.996668,24.083334,23.88,28.913332,28.956665,29.019999,23.326666,27.62,24.85,18.103333,28.933334,27.586668,27.606668,13.759999,29.206667,29.06,23.716667,25.676666,20.720001,27.563334,24.126665,29.123335,26.36,29.233332,28.273333,22.29,28.300001,28.233332,2.3633335,-0.8999999,28.9,28.970001,29.0,29.220001,27.546667,24.943335,28.733332,17.876669,28.94,28.286667,28.913336,19.133333,28.973333,2.823333,28.97667,2.8166666,28.883333,14.073334,3.9833336,14.220001,29.32,25.023333,28.736666,14.363334,28.203333,27.460001,28.286667,2.1966667,28.713333,28.29,16.769999,28.88,28.69,28.74,28.653334,-0.83,2.89,29.016668,28.720001,16.230001,26.85,28.896667,27.366667,0.8500001,17.63,16.433332,26.720001,28.949999,28.606667,20.68,29.223335,14.97,28.85,26.613333,14.903333,13.7300005,29.37,28.93,15.036667,28.796667,19.016666,29.01,29.436666,13.8,28.86,13.673333,29.44,28.113333,28.506666,28.446669,13.650001,28.463333,28.523333,28.51,28.226667,27.946669,28.730001,28.903334,28.393333,28.496666,28.786667,28.583334,28.54,27.833334,28.573334,28.486666,13.863334,28.519999,27.756666,28.49,28.573334,28.596666,28.49,27.403334,28.28,15.1033325,28.550001,12.579999,28.539999,28.723333,27.243332,13.676666,28.393333,27.586664,28.513334,27.470001,28.533333,29.446665,28.473333,28.313334,28.516668,28.519999,28.61,4.9966664,27.08,28.483332,28.516668,28.866667,8.883334,28.623331,28.603333,28.603333,29.14,28.423334,28.516668,28.520002,28.893333,28.586668,9.84,28.43,28.526667,28.576666,25.309998,6.933334,16.763332,6.7599998,13.366666,6.9166665,8.413333,7.226667,7.646666,8.71,11.81,9.023334,10.576667,14.113334,15.610001,9.803333,8.903334
1960,18.693335,19.176666,18.553333,18.906668,19.996666,20.733334,20.67,21.353333,21.913332,21.996666,21.44,20.373331,22.503334,20.776667,2.99,2.8333333,22.976667,3.1266668,22.74,3.3433335,20.613333,20.186666,19.903334,22.253334,21.726667,2.7600002,21.85,17.826666,23.183332,3.5633335,21.75,23.136667,-0.53,21.62,22.753332,23.410002,20.886665,19.09,19.99,18.803333,23.506668,22.026667,21.206667,23.596666,2.78,23.696665,21.186666,21.493332,23.033333,22.363333,19.406668,3.7633333,23.083334,28.730001,22.313334,23.42,18.516665,22.97,2.48,2.3,28.789999,24.363333,23.776667,23.19,28.693335,28.81,28.843332,22.730001,26.89,24.186666,17.38,28.590002,26.926666,26.833334,13.323334,28.78,28.666666,22.87,25.156668,19.786667,26.980001,23.426666,28.576666,26.013334,28.93,27.519999,21.343332,27.590002,27.449999,2.4199998,-1.1533333,28.806665,28.51333,28.410002,28.553331,26.75,24.21,28.136667,17.029999,28.466665,27.633331,28.886665,18.216665,28.936668,2.58,28.39,2.71,28.529999,13.613334,3.8933334,13.776668,28.753332,24.276667,28.096666,13.936667,27.403334,26.65,27.693335,1.8033333,27.89,27.743334,16.433332,28.470001,27.81,28.210001,27.730001,-0.91333336,2.6200001,28.309998,28.006668,15.873333,26.116669,28.14,26.550001,1.1433334,16.65,16.1,25.916666,28.176666,27.65,19.636667,28.456665,15.52,27.910002,25.826666,15.696667,14.123334,28.713333,28.076668,15.423332,27.83,17.986666,28.126665,28.69,14.056667,27.973333,14.196667,28.64,27.51333,28.296667,27.85,14.253334,27.970001,28.393333,28.24,27.743332,27.253334,27.726667,27.986666,27.71,28.156668,27.753332,28.449999,28.506668,27.276667,28.376665,28.13,13.990001,28.093332,26.979998,28.106667,28.326666,28.539999,28.07,26.65,27.539999,15.323334,28.24,12.66,28.133333,27.656668,26.416666,14.306666,28.096666,26.746666,28.136665,26.580002,28.203333,28.6,28.076666,27.923334,28.17,28.183332,28.643333,5.2166667,26.323334,28.090002,28.169998,27.816666,9.086666,28.373335,28.333334,28.699999,28.123335,28.159998,28.210001,28.153334,27.763334,28.296667,10.076667,28.196665,28.220001,28.269999,25.476667,7.0533333,16.590002,7.69,14.323334,7.896666,9.36,8.246667,8.66,9.650001,12.613334,10.0,11.256667,14.393333,16.006666,10.376667,9.353333
